slot	Channel	Tx	Rx	flowid
3803	23	114	119	5
3806	25	119	112	5
3812	20	112	117	5
3814	26	117	126	5
3837	22	126	121	5
3850	24	121	126	5
3852	23	126	117	5
3854	20	117	112	5
3856	26	112	119	5
3858	22	119	114	5
3860	21	114	135	5
3801	22	137	110	6
3804	20	110	112	6
3830	23	112	117	6
3832	20	117	126	6
3854	25	126	121	6
3863	24	121	108	6
4001	24	147	143	1
4003	23	143	139	1
4005	20	139	144	1
4007	26	144	109	1
4009	22	109	101	1
4011	21	101	121	1
4019	20	121	126	1
4021	26	126	117	1
4023	22	117	146	1
4001	22	144	109	2
4003	21	109	101	2
4005	25	101	121	2
4023	23	121	101	2
4025	20	101	109	2
4027	26	109	144	2
4029	22	144	139	2
4031	21	139	143	2
4006	24	105	109	3
4018	25	109	101	3
4028	22	101	121	3
4033	26	121	123	3
4035	22	123	104	3
4001	21	149	117	4
4003	25	117	126	4
4017	25	126	121	4
4039	26	121	101	4
4041	22	101	102	4
4001	20	136	114	5
4003	26	114	119	5
4006	23	119	112	5
4012	22	112	117	5
4014	21	117	126	5
4037	25	126	121	5
4050	20	121	126	5
4052	26	126	117	5
4054	22	117	112	5
4056	21	112	119	5
4058	25	119	114	5
4060	24	114	135	5
4001	25	137	110	6
4004	22	110	112	6
4030	26	112	117	6
4032	22	117	126	6
4054	23	126	121	6
4063	20	121	108	6
4201	20	147	143	1
4203	26	143	139	1
4205	22	139	144	1
4207	21	144	109	1
4209	25	109	101	1
4211	24	101	121	1
4219	22	121	126	1
4220	23	121	126	1
4221	21	126	117	1
4223	25	117	146	1
4201	25	144	109	2
4203	24	109	101	2
4205	23	101	121	2
4223	26	121	101	2
4225	22	101	109	2
4227	21	109	144	2
4229	25	144	139	2
4231	24	139	143	2
4206	20	105	109	3
4218	23	109	101	3
4228	25	101	121	3
4233	21	121	123	3
4235	25	123	104	3
4201	24	149	117	4
4203	23	117	126	4
4217	23	126	121	4
4239	21	121	101	4
4241	25	101	102	4
4201	22	136	114	5
4203	21	114	119	5
4206	26	119	112	5
4212	25	112	117	5
4214	24	117	126	5
4237	23	126	121	5
4250	22	121	126	5
4252	21	126	117	5
4254	25	117	112	5
4256	24	112	119	5
4258	23	119	114	5
4260	20	114	135	5
4201	23	137	110	6
4204	25	110	112	6
4230	21	112	117	6
4232	25	117	126	6
4254	26	126	121	6
4263	22	121	108	6
4401	22	147	143	1
4403	21	143	139	1
4405	25	139	144	1
4407	24	144	109	1
4409	23	109	101	1
4411	20	101	121	1
4419	25	121	126	1
4421	24	126	117	1
4423	23	117	146	1
4401	23	144	109	2
4403	20	109	101	2
4405	26	101	121	2
4423	21	121	101	2
4424	20	121	101	2
4425	25	101	109	2
4427	24	109	144	2
4429	23	144	139	2
4431	20	139	143	2
4406	22	105	109	3
4418	26	109	101	3
4428	23	101	121	3
4433	24	121	123	3
4435	23	123	104	3
4401	20	149	117	4
4403	26	117	126	4
4417	26	126	121	4
4439	24	121	101	4
4441	23	101	102	4
4442	21	101	102	4
4401	25	136	114	5
4403	24	114	119	5
4406	21	119	112	5
4412	23	112	117	5
4414	20	117	126	5
4437	26	126	121	5
4450	25	121	126	5
4452	24	126	117	5
4454	23	117	112	5
4456	20	112	119	5
4458	26	119	114	5
4460	22	114	135	5
4401	26	137	110	6
4404	23	110	112	6
4430	24	112	117	6
4432	23	117	126	6
4454	21	126	121	6
4463	25	121	108	6
4601	25	147	143	1
4603	24	143	139	1
4605	23	139	144	1
4607	20	144	109	1
4609	26	109	101	1
4611	22	101	121	1
4619	23	121	126	1
4621	20	126	117	1
4623	26	117	146	1
4601	26	144	109	2
4603	22	109	101	2
4605	21	101	121	2
4623	24	121	101	2
4625	23	101	109	2
4627	20	109	144	2
4629	26	144	139	2
4631	22	139	143	2
4606	25	105	109	3
4618	21	109	101	3
4628	26	101	121	3
4633	20	121	123	3
4635	26	123	104	3
